"alias","culture","plant_id","line_id","name","treatment","treatment_name","population","SP1","SP2","SP3","SP","tuber_FW_kg_per_plot","tuber_FW_kg_per_plant","starch_g_per_kg","starch_yield_g_per_plant","starch_yield_g_per_plot"
"EA2","67199",1489865,899440,"{[St.Euroresa.n].47-[St.Albatros.n].47}.2/001",169,"control","EA","","","yes","SP3",0.83,0.83,234,194.22,194.22
"EA2","67199",1489866,899440,"{[St.Euroresa.n].47-[St.Albatros.n].47}.2/001",169,"control","EA","","","yes","SP3",0.966,0.966,222,214.452,214.452
"EA2","67199",1489867,899440,"{[St.Euroresa.n].47-[St.Albatros.n].47}.2/001",170,"drought stress","EA","","","yes","SP3",0.38,0.38,208,79.04,79.04
"EA2","67199",1489868,899440,"{[St.Euroresa.n].47-[St.Albatros.n].47}.2/001",169,"control","EA","","","yes","SP3",0.832,0.832,212,176.384,176.384
"EA2","67199",1489869,899440,"{[St.Euroresa.n].47-[St.Albatros.n].47}.2/001",170,"drought stress","EA","","","yes","SP3",0.45,0.45,173,77.85,77.85
"EA2","67199",1489870,899440,"{[St.Euroresa.n].47-[St.Albatros.n].47}.2/001",170,"drought stress","EA","","","yes","SP3",0.284,0.284,211,59.924,59.924
"EA6","67199",1489871,899444,"{[St.Euroresa.n].47-[St.Albatros.n].47}.6/001",169,"control",NA,NA,NA,NA,NA,0.468,0.468,273,127.764,127.764
"EA6","67199",1489873,899444,"{[St.Euroresa.n].47-[St.Albatros.n].47}.6/001",170,"drought stress",NA,NA,NA,NA,NA,0.304,0.304,250,76,76
"EA6","67199",1489874,899444,"{[St.Euroresa.n].47-[St.Albatros.n].47}.6/001",169,"control",NA,NA,NA,NA,NA,0.57,0.57,278,158.46,158.46
"EA6","67199",1489875,899444,"{[St.Euroresa.n].47-[St.Albatros.n].47}.6/001",170,"drought stress",NA,NA,NA,NA,NA,0.518,0.518,188,97.384,97.384
"EA6","67199",1489876,899444,"{[St.Euroresa.n].47-[St.Albatros.n].47}.6/001",170,"drought stress",NA,NA,NA,NA,NA,0.136,0.136,242.666666666667,33.0026666666667,33.0026666666667
"EA7","67199",1489877,899445,"{[St.Euroresa.n].47-[St.Albatros.n].47}.7/001",169,"control","EA","yes","","","SP1",0.94,0.94,259,243.46,243.46
"EA7","67199",1489878,899445,"{[St.Euroresa.n].47-[St.Albatros.n].47}.7/001",169,"control","EA","yes","","","SP1",0.84,0.84,259,217.56,217.56
"EA7","67199",1489879,899445,"{[St.Euroresa.n].47-[St.Albatros.n].47}.7/001",170,"drought stress","EA","yes","","","SP1",0.368,0.368,231,85.008,85.008
"EA7","67199",1489881,899445,"{[St.Euroresa.n].47-[St.Albatros.n].47}.7/001",170,"drought stress","EA","yes","","","SP1",0.246,0.246,178,43.788,43.788
"EA7","67199",1489882,899445,"{[St.Euroresa.n].47-[St.Albatros.n].47}.7/001",170,"drought stress","EA","yes","","","SP1",0.172,0.172,278,47.816,47.816
"EA8","67199",1489883,899446,"{[St.Euroresa.n].47-[St.Albatros.n].47}.8/001",169,"control","EA","yes","","yes","SP1",0.38,0.38,192,72.96,72.96
"EA8","67199",1489884,899446,"{[St.Euroresa.n].47-[St.Albatros.n].47}.8/001",169,"control","EA","yes","","yes","SP1",0.586,0.586,217,127.162,127.162
"EA8","67199",1489885,899446,"{[St.Euroresa.n].47-[St.Albatros.n].47}.8/001",170,"drought stress","EA","yes","","yes","SP1",0.21,0.21,293.333333333333,61.6,61.6
"EA8","67199",1489887,899446,"{[St.Euroresa.n].47-[St.Albatros.n].47}.8/001",170,"drought stress","EA","yes","","yes","SP1",0.45,0.45,263,118.35,118.35
"EA8","67199",1489888,899446,"{[St.Euroresa.n].47-[St.Albatros.n].47}.8/001",169,"control","EA","yes","","yes","SP1",0.682,0.682,215,146.63,146.63
"EA14","67199",1489895,899452,"{[St.Euroresa.n].47-[St.Albatros.n].47}.14/001",169,"control",NA,NA,NA,NA,NA,0.576,0.576,238,137.088,137.088
"EA14","67199",1489896,899452,"{[St.Euroresa.n].47-[St.Albatros.n].47}.14/001",169,"control",NA,NA,NA,NA,NA,0.398,0.398,234,93.132,93.132
"EA14","67199",1489897,899452,"{[St.Euroresa.n].47-[St.Albatros.n].47}.14/001",170,"drought stress",NA,NA,NA,NA,NA,0.412,0.412,230,94.76,94.76
"EA14","67199",1489898,899452,"{[St.Euroresa.n].47-[St.Albatros.n].47}.14/001",169,"control",NA,NA,NA,NA,NA,0.93,0.93,238,221.34,221.34
"EA14","67199",1489899,899452,"{[St.Euroresa.n].47-[St.Albatros.n].47}.14/001",170,"drought stress",NA,NA,NA,NA,NA,0,0,0,0,0
"EA14","67199",1489900,899452,"{[St.Euroresa.n].47-[St.Albatros.n].47}.14/001",170,"drought stress",NA,NA,NA,NA,NA,0.106,0.106,250.333333333333,26.5353333333333,26.5353333333333
"EA17","67199",1489907,899455,"{[St.Euroresa.n].47-[St.Albatros.n].47}.17/001",169,"control",NA,NA,NA,NA,NA,0.788,0.788,205,161.54,161.54
"EA17","67199",1489908,899455,"{[St.Euroresa.n].47-[St.Albatros.n].47}.17/001",169,"control",NA,NA,NA,NA,NA,0.568,0.568,161,91.448,91.448
"EA17","67199",1489909,899455,"{[St.Euroresa.n].47-[St.Albatros.n].47}.17/001",170,"drought stress",NA,NA,NA,NA,NA,0.328,0.328,200,65.6,65.6
"EA17","67199",1489910,899455,"{[St.Euroresa.n].47-[St.Albatros.n].47}.17/001",169,"control",NA,NA,NA,NA,NA,0.856,0.856,216,184.896,184.896
"EA17","67199",1489911,899455,"{[St.Euroresa.n].47-[St.Albatros.n].47}.17/001",170,"drought stress",NA,NA,NA,NA,NA,0.414,0.414,191,79.074,79.074
"EA19","67199",1489919,899457,"{[St.Euroresa.n].47-[St.Albatros.n].47}.19/001",169,"control","EA","","","yes","SP3",1.208,1.208,227,274.216,274.216
"EA19","67199",1489920,899457,"{[St.Euroresa.n].47-[St.Albatros.n].47}.19/001",169,"control","EA","","","yes","SP3",0.856,0.856,238,203.728,203.728
"EA19","67199",1489921,899457,"{[St.Euroresa.n].47-[St.Albatros.n].47}.19/001",170,"drought stress","EA","","","yes","SP3",0.548,0.548,235,128.78,128.78
"EA19","67199",1489922,899457,"{[St.Euroresa.n].47-[St.Albatros.n].47}.19/001",169,"control","EA","","","yes","SP3",0.796,0.796,171,136.116,136.116
"EA19","67199",1489924,899457,"{[St.Euroresa.n].47-[St.Albatros.n].47}.19/001",170,"drought stress","EA","","","yes","SP3",0.396,0.396,193,76.428,76.428
"EA20","67199",1489925,899458,"{[St.Euroresa.n].47-[St.Albatros.n].47}.20/001",169,"control",NA,NA,NA,NA,NA,0.214,0.214,223,47.722,47.722
"EA20","67199",1489926,899458,"{[St.Euroresa.n].47-[St.Albatros.n].47}.20/001",169,"control",NA,NA,NA,NA,NA,0.188,0.188,235,44.18,44.18
"EA20","67199",1489927,899458,"{[St.Euroresa.n].47-[St.Albatros.n].47}.20/001",170,"drought stress",NA,NA,NA,NA,NA,0.03,0.03,0,0,0
"EA20","67199",1489928,899458,"{[St.Euroresa.n].47-[St.Albatros.n].47}.20/001",169,"control",NA,NA,NA,NA,NA,0.302,0.302,243,73.386,73.386
"EA20","67199",1489929,899458,"{[St.Euroresa.n].47-[St.Albatros.n].47}.20/001",170,"drought stress",NA,NA,NA,NA,NA,0,0,0,0,0
"EA20","67199",1489930,899458,"{[St.Euroresa.n].47-[St.Albatros.n].47}.20/001",170,"drought stress",NA,NA,NA,NA,NA,0,0,0,0,0
"EA22","67199",1489931,899460,"{[St.Euroresa.n].47-[St.Albatros.n].47}.22/001",170,"drought stress","EA","","","yes","SP3",0.294,0.294,164,48.216,48.216
"EA22","67199",1489932,899460,"{[St.Euroresa.n].47-[St.Albatros.n].47}.22/001",169,"control","EA","","","yes","SP3",0.572,0.572,214,122.408,122.408
"EA22","67199",1489933,899460,"{[St.Euroresa.n].47-[St.Albatros.n].47}.22/001",170,"drought stress","EA","","","yes","SP3",0.046,0.046,207.333333333333,9.53733333333333,9.53733333333333
"EA22","67199",1489934,899460,"{[St.Euroresa.n].47-[St.Albatros.n].47}.22/001",170,"drought stress","EA","","","yes","SP3",0.54,0.54,182,98.28,98.28
"EA22","67199",1489935,899460,"{[St.Euroresa.n].47-[St.Albatros.n].47}.22/001",169,"control","EA","","","yes","SP3",0.618,0.618,237,146.466,146.466
"EA22","67199",1489936,899460,"{[St.Euroresa.n].47-[St.Albatros.n].47}.22/001",169,"control","EA","","","yes","SP3",0.476,0.476,205,97.58,97.58
"EA24","67199",1489937,899462,"{[St.Euroresa.n].47-[St.Albatros.n].47}.24/001",169,"control",NA,NA,NA,NA,NA,0.372,0.372,235,87.42,87.42
"EA24","67199",1489938,899462,"{[St.Euroresa.n].47-[St.Albatros.n].47}.24/001",169,"control",NA,NA,NA,NA,NA,0.164,0.164,245.666666666667,40.2893333333333,40.2893333333333
"EA24","67199",1489939,899462,"{[St.Euroresa.n].47-[St.Albatros.n].47}.24/001",170,"drought stress",NA,NA,NA,NA,NA,0.038,0.038,291,11.058,11.058
"EA24","67199",1489940,899462,"{[St.Euroresa.n].47-[St.Albatros.n].47}.24/001",169,"control",NA,NA,NA,NA,NA,0.33,0.33,237,78.21,78.21
"EA24","67199",1489941,899462,"{[St.Euroresa.n].47-[St.Albatros.n].47}.24/001",170,"drought stress",NA,NA,NA,NA,NA,0.242,0.242,191,46.222,46.222
"AR1","67199",1494036,899464,"{[St.Albatros.n].25-[St.Ramses.n].9}.1/001",170,"drought stress","AR","","yes","","SP2",0.096,0.096,224,21.504,21.504
"AR1","67199",1494037,899464,"{[St.Albatros.n].25-[St.Ramses.n].9}.1/001",170,"drought stress","AR","","yes","","SP2",0.268,0.268,227,60.836,60.836
"AR1","67199",1494039,899464,"{[St.Albatros.n].25-[St.Ramses.n].9}.1/001",169,"control","AR","","yes","","SP2",0.432,0.432,165,71.28,71.28
"AR1","67199",1494040,899464,"{[St.Albatros.n].25-[St.Ramses.n].9}.1/001",169,"control","AR","","yes","","SP2",0.74,0.74,164,121.36,121.36
"AR1","67199",1494041,899464,"{[St.Albatros.n].25-[St.Ramses.n].9}.1/001",169,"control","AR","","yes","","SP2",0.364,0.364,132,48.048,48.048
"AR9","67199",1494042,899472,"{[St.Albatros.n].25-[St.Ramses.n].9}.9/001",169,"control",NA,NA,NA,NA,NA,0.255,0.255,150,38.25,38.25
"AR9","67199",1494043,899472,"{[St.Albatros.n].25-[St.Ramses.n].9}.9/001",170,"drought stress",NA,NA,NA,NA,NA,0.22,0.22,234,51.48,51.48
"AR9","67199",1494044,899472,"{[St.Albatros.n].25-[St.Ramses.n].9}.9/001",170,"drought stress",NA,NA,NA,NA,NA,0.15,0.15,264.333333333333,39.65,39.65
"AR9","67199",1494045,899472,"{[St.Albatros.n].25-[St.Ramses.n].9}.9/001",169,"control",NA,NA,NA,NA,NA,0.554,0.554,193,106.922,106.922
"AR9","67199",1494046,899472,"{[St.Albatros.n].25-[St.Ramses.n].9}.9/001",169,"control",NA,NA,NA,NA,NA,0.306,0.306,132,40.392,40.392
"AR9","67199",1494047,899472,"{[St.Albatros.n].25-[St.Ramses.n].9}.9/001",170,"drought stress",NA,NA,NA,NA,NA,0.028,0.028,0,0,0
"AR20","67199",1494048,899483,"{[St.Albatros.n].25-[St.Ramses.n].9}.20/001",169,"control",NA,NA,NA,NA,NA,0.648,0.648,154,99.792,99.792
"AR20","67199",1494049,899483,"{[St.Albatros.n].25-[St.Ramses.n].9}.20/001",169,"control",NA,NA,NA,NA,NA,1.136,1.136,201,228.336,228.336
"AR20","67199",1494050,899483,"{[St.Albatros.n].25-[St.Ramses.n].9}.20/001",169,"control",NA,NA,NA,NA,NA,0.908,0.908,159,144.372,144.372
"AR20","67199",1494051,899483,"{[St.Albatros.n].25-[St.Ramses.n].9}.20/001",170,"drought stress",NA,NA,NA,NA,NA,0.324,0.324,201,65.124,65.124
"AR20","67199",1494052,899483,"{[St.Albatros.n].25-[St.Ramses.n].9}.20/001",170,"drought stress",NA,NA,NA,NA,NA,0.412,0.412,187,77.044,77.044
"AR20","67199",1494053,899483,"{[St.Albatros.n].25-[St.Ramses.n].9}.20/001",170,"drought stress",NA,NA,NA,NA,NA,0.226,0.226,NA,NA,NA
"AR21","67199",1494054,899484,"{[St.Albatros.n].25-[St.Ramses.n].9}.21/001",169,"control","AR","yes","","","SP1",0.38,0.38,152,57.76,57.76
"AR21","67199",1494055,899484,"{[St.Albatros.n].25-[St.Ramses.n].9}.21/001",169,"control","AR","yes","","","SP1",0.474,0.474,154,72.996,72.996
"AR21","67199",1494056,899484,"{[St.Albatros.n].25-[St.Ramses.n].9}.21/001",169,"control","AR","yes","","","SP1",0.74,0.74,185,136.9,136.9
"AR21","67199",1494057,899484,"{[St.Albatros.n].25-[St.Ramses.n].9}.21/001",170,"drought stress","AR","yes","","","SP1",0.356,0.356,213,75.828,75.828
"AR21","67199",1494058,899484,"{[St.Albatros.n].25-[St.Ramses.n].9}.21/001",170,"drought stress","AR","yes","","","SP1",0.36,0.36,222,79.92,79.92
"AR21","67199",1494059,899484,"{[St.Albatros.n].25-[St.Ramses.n].9}.21/001",170,"drought stress","AR","yes","","","SP1",0.216,0.216,147,31.752,31.752
"AR22","67199",1494060,899485,"{[St.Albatros.n].25-[St.Ramses.n].9}.22/001",169,"control",NA,NA,NA,NA,NA,0.52,0.52,201,104.52,104.52
