"alias","treatment_name","culture","starch_g_per_kg","tuber_FW_kg_per_plant","starch_yield_g_per_plant"
"Albatros","control","72247",243.333333333333,1.16366666666667,282.760666666667
"Albatros","control","72275",213,1.08226666666667,230.233866666667
"Albatros","control","72292",198.5301,0.375623333333333,74.3974780536667
"Albatros","control","72396",202.7113,1.1224,222.3673254
"Albatros","control","72482",199.983212715,1.155,230.56440764903
"Albatros","drought stress","72247",219.666666666667,0.458333333333333,100.668333333333
"Albatros","drought stress","72275",191.666666666667,0.3392,65.9050666666667
"Albatros","drought stress","72292",202.7113,0.191316666666667,38.762151184
"Albatros","drought stress","72396",231.9797,0.5786,134.2345346
"Albatros","drought stress","72482",186.338486247,1.06,198.309313658364
"AR1","control","72247",222.833333333333,0.959666666666667,213.722666666667
"AR1","control","72275",182,1.00866666666667,183.459333333333
"AR1","control","72292",205.150333333333,0.390071666666667,79.9840477436667
"AR1","control","72396",191.213,0.8524,161.0582468
"AR1","control","72482",173.9062240775,0.623,108.524248932925
"AR1","drought stress","72247",183.666666666667,0.38,71.1406666666667
"AR1","drought stress","72275",140,0.3072,43.116
"AR1","drought stress","72292",184.9412,0.216611666666667,40.056717721
"AR1","drought stress","72396",197.4848,0.3464,68.6111048
"AR1","drought stress","72482",170.748936593,0.679,115.945993748783
"AR106","control","72247",217.833333333333,0.76,165.277333333333
"AR106","control","72275",184,0.905866666666667,166.684
"AR106","control","72292",185.9865,0.345295,64.101404946
"AR106","control","72396",185.9865,1.0007,185.6834137
"AR106","control","72482",166.906765501,0.978,163.240912484754
"AR106","drought stress","72247",153.166666666667,0.638666666666667,95.322
"AR106","drought stress","72275",140.333333333333,0.2596,36.5928
"AR106","drought stress","72292",180.063133333333,0.222043333333333,40.1362497963333
"AR106","drought stress","72396",205.8472,0.367,75.5459224
"AR106","drought stress","72482",181.972166149,0.8385,152.996447321369
"AR121","control","72247",234.5,1.29133333333333,302.796
"AR121","control","72275",212.666666666667,0.738666666666667,157.628933333333
"AR121","control","72292",179.7147,0.395366666666667,71.0041320236667
"AR121","control","72396",204.8019,0.8422,171.9441582
"AR121","control","72482",204.0342836845,0.898,183.274330630662
"AR121","drought stress","72247",204.833333333333,0.800833333333333,163.555666666667
"AR121","drought stress","72275",161,0.197466666666667,32.1248
"AR121","drought stress","72292",171.700733333333,0.236246666666667,40.548594616
"AR121","drought stress","72396",205.8472,0.4572,94.26469928
"AR121","drought stress","72482",200.414518122,0.677,135.683913025528
"AR133","control","72247",203.333333333333,0.966,194.178666666667
"AR133","control","72275",191,1.0612,202.5324
"AR133","control","72292",159.505566666667,0.383795,61.186123513
"AR133","control","72396",184.9412,1.3002,239.23127544
"AR133","control","72482",178.9751045655,1.483,265.485359983895
"AR133","drought stress","72247",182.5,0.334,61.408
"AR133","drought stress","72275",162.666666666667,0.335866666666667,53.7062666666667
"AR133","drought stress","72292",155.25468,0.1955,30.248721616
"AR133","drought stress","72396",187.0318,0.6728,125.76809584
"AR133","drought stress","72482",168.543733038,1.005,169.301673502683
"AR157","control","72247",206.333333333333,0.997,206.732333333333
"AR157","control","72275",189.333333333333,0.948933333333333,180.06
"AR157","control","72292",185.9865,0.412481666666667,76.6899395203333
"AR157","control","72396",185.9865,0.7764,143.9964328
"AR157","control","72482",178.9189496905,1.131,202.362284884232
"AR157","drought stress","72247",202,0.297,53.673
